net,length_um
_0276_,4.58
net38,4.58
_0207_,4.56
_1189_,4.56
_1203_,4.56
_0024_,4.54
_0031_,4.54
_0048_,4.54
_0151_,4.54
_0184_,4.54
_0335_,4.54
_0008_,4.53
_0030_,4.53
rf.registers\[5\]\[7\],4.48
net333,4.48
_0022_,4.47
_0287_,4.46
_0430_,4.46
_0443_,4.46
_0484_,4.46
_1145_,4.46
_1195_,4.46
_1196_,4.46
net242,4.46
net334,4.46
_0134_,4.44
_1036_,4.44
_0408_,4.42
_0411_,4.42
_0452_,4.42
_0782_,4.42
_1090_,4.42
net217,4.42
_0282_,4.34
_0405_,4.34
_0475_,4.34
_0593_,4.34
_0685_,4.34
_0959_,4.34
_1148_,4.34
rf.registers\[25\]\[19\],4.34
net289,4.34
net310,4.34
_0982_,4.32
_0225_,4.295
_0221_,4.265
_0325_,4.265
net250,4.24
_0015_,4.22
_0098_,4.22
_0297_,4.22
net332,4.22
_0026_,4.15
_0045_,4.15
_0081_,4.15
_0093_,4.15
net210,4.14
net262,4.14
net271,4.14
net280,4.14
net304,4.14
_0083_,4.12
_0186_,4.12
_0215_,4.12
_0291_,4.12
_0509_,4.12
_0021_,4.1
_0084_,4.1
_0116_,4.08
_0145_,4.08
_0157_,4.08
_0183_,4.08
_0319_,4.08
_0506_,4.08
_1070_,4.08
_0087_,4.05
_0160_,4.05
_0191_,4.02
_0360_,4.02
_0560_,4.02
_0280_,4
_0768_,4
_0788_,4
_0989_,4
_0540_,3.98
_1227_,3.98
_1152_,3.92
_0493_,3.9
_0504_,3.9
_0793_,3.9
_1248_,3.9
_0100_,3.88
_0874_,3.88
_1034_,3.88
_1153_,3.88
_1158_,3.88
_1174_,3.88
_1179_,3.88
_1188_,3.88
_0187_,3.845
_0308_,3.805
_0326_,3.78
net272,3.78
_0737_,3.77
_0182_,3.76
_0346_,3.76
net45,3.76
net50,3.76
net258,3.76
_0047_,3.69
_0059_,3.69
_0853_,3.68
net234,3.68
_0101_,3.66
_0293_,3.66
_0237_,3.605
_1246_,3.56
_0219_,3.54
_0256_,3.54
_0279_,3.54
_0283_,3.54
_0286_,3.54
_0305_,3.54
_0665_,3.54
_0786_,3.54
_0888_,3.54
_0964_,3.54
_1031_,3.54
_1149_,3.54
_1219_,3.54
net57,3.54
net261,3.54
_0707_,3.52
_1111_,3.48
_0436_,3.44
_0524_,3.44
net256,3.44
_0407_,3.42
_1011_,3.42
_1121_,3.42
_1160_,3.42
_1161_,3.42
_1232_,3.42
net46,3.42
net47,3.42
net63,3.42
net324,3.42
_0000_,3.4
_0086_,3.35
_0797_,3.32
net246,3.32
net323,3.32
_0017_,3.3
_0066_,3.3
_0189_,3.3
_0333_,3.3
_0136_,3.23
_1106_,3.22
_0166_,3.2
_0177_,3.2
_0197_,3.2
_0217_,3.2
_0248_,3.2
_0306_,3.2
_0347_,3.2
net197,3.2
net295,3.2
rf.registers\[5\]\[31\],3.18
_0127_,3.13
_0608_,3.1
net286,3.1
_1076_,3.09
_0163_,3.08
_0169_,3.08
_0178_,3.08
_0344_,3.08
_0508_,3.08
_0773_,3.08
_0893_,3.08
_0914_,3.08
_1064_,3.08
_1128_,3.08
_1157_,3.08
_1228_,3.08
net231,3.08
net314,3.08
_1217_,3.06
_0124_,3.01
_0835_,2.98
_1135_,2.98
_0090_,2.96
_0251_,2.96
_0439_,2.96
_0498_,2.96
_0621_,2.96
_0638_,2.96
_0734_,2.96
_0908_,2.96
_1164_,2.96
_1168_,2.96
net53,2.96
_0304_,2.925
_0567_,2.86
_0001_,2.84
_0020_,2.84
_0025_,2.84
_0037_,2.84
_0040_,2.84
_0054_,2.84
_0117_,2.84
_0143_,2.84
_0159_,2.84
_0173_,2.84
_0185_,2.84
_0302_,2.84
_0605_,2.84
net180,2.84
_0023_,2.77
_0467_,2.76
net227,2.76
net278,2.76
_0102_,2.74
_0114_,2.74
_0180_,2.74
_0210_,2.74
_0284_,2.74
_0314_,2.74
_0341_,2.74
net285,2.74
_0027_,2.72
_0104_,2.72
_0421_,2.72
_0931_,2.7
_0110_,2.69
_0146_,2.67
_0168_,2.64
_0249_,2.64
_0253_,2.64
_0257_,2.64
_0263_,2.64
_0272_,2.64
_0339_,2.64
_0380_,2.64
_0469_,2.64
_0571_,2.64
_0579_,2.64
_0891_,2.64
_1208_,2.64
net288,2.64
_0009_,2.62
_0109_,2.62
_0188_,2.62
_0200_,2.62
_0270_,2.62
_0417_,2.62
_0425_,2.62
_0471_,2.62
_0495_,2.62
_0718_,2.62
_0792_,2.62
_0903_,2.62
_0913_,2.62
_1057_,2.62
_1084_,2.62
_1125_,2.62
_1274_,2.62
net237,2.62
net296,2.62
_0220_,2.585
_0236_,2.585
_1123_,2.52
_1177_,2.52
_0013_,2.5
_0376_,2.5
_0457_,2.5
_0536_,2.5
_0670_,2.5
_0690_,2.5
_0722_,2.5
_0752_,2.5
_1170_,2.5
net49,2.5
net303,2.5
_0232_,2.485
_0250_,2.465
_0641_,2.4
_1225_,2.4
_0006_,2.38
_0014_,2.38
_0072_,2.38
_0073_,2.38
_0076_,2.38
_0080_,2.38
_0091_,2.38
_0092_,2.38
_0120_,2.38
_0137_,2.38
_0140_,2.38
_0148_,2.38
_0241_,2.38
_0585_,2.38
_0619_,2.38
net182,2.38
_0318_,2.31
_0322_,2.31
_0431_,2.3
_0727_,2.3
_0764_,2.3
net247,2.3
net257,2.3
net260,2.3
net264,2.3
net282,2.3
net292,2.3
net305,2.3
net306,2.3
net317,2.3
net318,2.3
net330,2.3
_0069_,2.28
_0198_,2.28
_0211_,2.28
_0271_,2.28
_0281_,2.28
net221,2.255
_0011_,2.23
_0046_,2.23
_0051_,2.23
_0060_,2.23
_0105_,2.23
_0107_,2.23
_0126_,2.23
_0131_,2.23
_0050_,2.21
_0106_,2.21
_0135_,2.21
_0277_,2.205
_0170_,2.18
_0204_,2.18
_0209_,2.18
_0213_,2.18
_0245_,2.18
_0247_,2.18
_0258_,2.18
_0260_,2.18
_0273_,2.18
_0289_,2.18
_0313_,2.18
_0345_,2.18
_1056_,2.18
net208,2.18
net209,2.18
_0079_,2.16
_0122_,2.16
_0242_,2.16
_0296_,2.16
_0442_,2.16
_0450_,2.16
_0461_,2.16
_0758_,2.16
_0762_,2.16
_0838_,2.16
_0950_,2.16
_1039_,2.16
_1166_,2.16
_1204_,2.16
net219,2.16
net235,2.16
net274,2.16
_0238_,2.145
_0223_,2.085
_1004_,2.06
_1054_,2.06
_1097_,2.06
_1150_,2.06
_1156_,2.06
_1169_,2.06
_0018_,2.04
_0139_,2.04
_0161_,2.04
_0374_,2.04
_0574_,2.04
_0645_,2.04
_0844_,2.04
_1163_,2.04
_1224_,2.04
net267,2.04
_0239_,2.025
_0174_,2.005
_0294_,2
net290,1.94
net299,1.94
_1239_,1.92
_0373_,1.84
_0389_,1.84
_1101_,1.84
_1180_,1.84
net284,1.84
net335,1.84
_0057_,1.82
_0065_,1.82
_0078_,1.82
_0088_,1.82
_0115_,1.82
_0119_,1.82
_0121_,1.82
_0153_,1.82
_0171_,1.82
_0190_,1.82
_0255_,1.82
_0266_,1.82
_0285_,1.82
_0299_,1.82
_0315_,1.82
net40,1.82
_0058_,1.75
_0061_,1.75
_0144_,1.75
_0391_,1.72
_0491_,1.72
_0510_,1.72
_1079_,1.72
_0019_,1.7
_0343_,1.7
_0352_,1.7
_0612_,1.7
_0663_,1.7
_0696_,1.7
_0969_,1.7
_1046_,1.7
_1050_,1.7
net248,1.7
net275,1.7
net316,1.7
_0589_,1.6
_0772_,1.6
_0902_,1.6
_0954_,1.6
_1109_,1.6
_1213_,1.6
_0176_,1.545
_0208_,1.545
_0278_,1.545
_0240_,1.48
_0383_,1.38
_0424_,1.38
_0433_,1.38
_0434_,1.38
_0440_,1.38
_0445_,1.38
_0456_,1.38
_0458_,1.38
_0464_,1.38
_0756_,1.38
_1037_,1.38
net220,1.38
net232,1.38
net273,1.38
net315,1.38
net337,1.38
_0003_,1.36
_0028_,1.36
_0033_,1.36
_0035_,1.36
_0043_,1.36
_0063_,1.36
_0064_,1.36
_0067_,1.36
_0068_,1.36
_0070_,1.36
_0071_,1.36
_0082_,1.36
_0089_,1.36
_0095_,1.36
_0099_,1.36
_0156_,1.36
_0243_,1.36
_0332_,1.36
net39,1.36
_0986_,1.34
_0353_,1.26
_0569_,1.26
_0576_,1.26
_0656_,1.26
_0697_,1.26
_0741_,1.26
_0783_,1.26
_1116_,1.26
_0401_,1.14
_0485_,1.14
_0489_,1.14
_0675_,1.14
_0747_,1.14
_0760_,1.14
_1088_,1.14
_1176_,1.14
net55,1.14
_0331_,1.085
net322,1.02
_0371_,0.92
_0632_,0.92
net245,0.92
_0222_,0.46
_0385_,0.46
_0410_,0.46
_0413_,0.46
_0420_,0.46
_0428_,0.46
_0432_,0.46
_0470_,0.46
_0666_,0.46
_0791_,0.46
_1013_,0.46
_1026_,0.46
net212,0.46
net222,0.46
net236,0.46
net238,0.46
net239,0.46
net241,0.46
net251,0.46
net255,0.46
net268,0.46
net298,0.46
net309,0.46
