net,length_um
_2158_,71.94
net57,71.94
_1789_,71.7
_1183_,71.68
_1545_,71.64
clknet_leaf_99_clk,71.64
_1590_,71.16
clknet_leaf_44_clk,71.15
_2211_,71.13
_1816_,71
clknet_leaf_105_clk,70.96
_2247_,70.92
clknet_leaf_57_clk,70.9
clknet_leaf_103_clk,70.86
_1824_,70.6
_2450_,70.6
_2149_,70.56
_2476_,70.53
_2429_,70.505
_2372_,70.22
_2193_,69.88
_1469_,69.82
clknet_leaf_74_clk,69.44
_1640_,69.4
clknet_leaf_117_clk,69.38
_2169_,69.14
_2721_,68.84
_1966_,68.72
_2619_,68.7
_2523_,68.62
_1297_,68.6
clknet_leaf_10_clk,68.56
_2091_,68.4
_2456_,68.3
_1329_,68.04
_1385_,67.82
net42,67.66
_2138_,67.6
net49,67.58
net87,67.14
clknet_leaf_115_clk,67.08
clknet_leaf_62_clk,67.04
clknet_leaf_65_clk,66.82
clknet_leaf_72_clk,66.76
net86,66.6
_2480_,66.56
_2729_,66.54
clknet_leaf_107_clk,66.53
_2092_,66.4
_2448_,65.98
clknet_leaf_39_clk,65.96
_1487_,65.92
_1743_,65.86
clknet_leaf_101_clk,65.68
_2598_,65.48
clknet_leaf_60_clk,65.3
_1905_,65.24
_2505_,65.12
_2546_,65.04
_2335_,64.98
net50,64.98
_2311_,64.86
_2431_,64.53
_2525_,64.44
_2043_,64.345
net58,64.34
clknet_leaf_77_clk,64.28
_2527_,64.06
_2772_,63.96
_2622_,63.82
_2628_,63.82
clknet_leaf_59_clk,63.76
_1745_,63.62
_2490_,63.56
_2545_,63.56
_1830_,63.52
_1570_,63.2
_2006_,63.06
_1358_,62.9
_1720_,62.74
_1876_,62.64
clknet_leaf_27_clk,62.5
_1585_,62.38
_2401_,62.06
clknet_leaf_6_clk,61.94
_1540_,61.86
_2223_,61.78
net175,61.58
_1781_,61.32
_2415_,61.26
_1337_,61.22
_2348_,61.12
_1877_,60.9
_1356_,60.56
_1963_,60.36
clknet_leaf_122_clk,60.345
_2698_,60.34
_2555_,60.23
_2554_,60.06
_1214_,60.04
_1964_,60.04
_2493_,59.98
net64,59.86
_1870_,59.82
_1309_,59.78
clknet_leaf_46_clk,59.74
_2184_,59.66
_2332_,59.64
_2322_,59.56
_1378_,59.42
regfile_inst.registers\[16\]\[30\],59.42
_2375_,59.41
_2635_,59.2
clknet_leaf_95_clk,58.84
